model_family,model_name,parameters_json,evaluation_users,precision_at_5,precision_at_10,recall_at_5,recall_at_10,hit_rate_at_5,hit_rate_at_10,ndcg_at_5,ndcg_at_10,mrr,map_at_10,median_positive_rank,mean_positive_rank,catalog_coverage_at_10,novelty_at_10,intra_list_diversity_at_10,average_recommended_popularity_at_10,long_tail_share_at_10,random_ndcg_at_10_sd
random_sanity,random_seed_average,"{""aggregation"": ""mean_metrics"", ""seeds"": [11, 29, 42, 71, 101], ""stage"": ""internal_tuning""}",24968.0,0.007047420698494072,0.006988945850688882,0.035237103492470355,0.06988945850688881,0.035237103492470355,0.06988945850688881,0.020852808272124095,0.03191879638198067,0.038857891270012254,0.02067160250835355,72.6,72.36233578981096,,,,,,0.0010543703076852044
training_popularity,training_popularity,"{""score"": ""internal_training_interaction_count""}",24968.0,0.0011614867029798143,0.001906440243511695,0.005807433514899071,0.01906440243511695,0.005807433514899071,0.01906440243511695,0.0026551249677641423,0.006872256166192451,0.01886183738212356,0.003345266067550592,89.0,85.09460108939443,,,,,,
item_item_cosine,item_cosine_mean_shrink_0,"{""aggregation"": ""mean"", ""shrinkage"": 0.0}",24968.0,0.03742390259532201,0.030178628644665174,0.18711951297661006,0.30178628644665173,0.18711951297661006,0.30178628644665173,0.12093765091154615,0.15790346225948876,0.13614476644358844,0.11457343177044396,25.0,40.19428868952259,,,,,,
truncated_svd,svd_64_iter_15,"{""n_components"": 64, ""n_iter"": 15}",24968.0,0.027002563280999682,0.022989426465876324,0.1350128164049984,0.22989426465876323,0.1350128164049984,0.22989426465876323,0.08769298499941267,0.1183875569755695,0.10565341744105154,0.08490625143040234,37.0,51.06456264017943,,,,,,
graph_personalized_pagerank,ppr_ppmi_restart_0.50,"{""edge_weight"": ""ppmi"", ""restart_probability"": 0.5}",24968.0,0.034051586030118555,0.027519224607497596,0.17025793015059276,0.27519224607497594,0.17025793015059276,0.27519224607497594,0.10856670652194503,0.14217334267851253,0.12280680282794246,0.10208621003137985,29.0,47.25488625440564,,,,,,
rank_normalized_hybrid,hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00,"{""normalization"": ""candidate_rank"", ""weights"": {""graph_personalized_pagerank"": 0.25, ""item_item_cosine"": 0.75, ""training_popularity"": 0.0, ""truncated_svd"": 0.0}}",24968.0,0.03595001602050625,0.02960990067286126,0.17975008010253124,0.2960990067286126,0.17975008010253124,0.2960990067286126,0.11687427375363729,0.15427152371251265,0.13276991509753547,0.11171172116181731,26.0,41.536686959307914,,,,,,
herd_mitigation_reranker,herd_mitigation_penalty_0.05,"{""base_hybrid"": ""hybrid_item_item_cosine=0.75_truncated_svd=0.00_graph_personalized_pagerank=0.25_training_popularity=0.00"", ""popularity_penalty"": 0.05}",24968.0,0.03703140019224607,0.0300184235821852,0.18515700096123036,0.300184235821852,0.18515700096123036,0.300184235821852,0.12088946992933329,0.15786606382228063,0.13594724783395976,0.11507919025241199,26.0,41.279718039090035,,,,,,
