repo_id,interaction_count
576201,1500
135786093,1500
274495425,1500
287463830,1500
307260205,1500
311525798,1500
343965132,1500
344190478,1500
357728969,1500
364474335,1500
365739812,1500
453717720,1500
455229168,1500
522158088,1500
523043277,1500
527591471,1500
542284380,1500
266417772,1500
265612440,1500
255378816,1500
172562475,1500
155220641,1500
156157055,1500
159152904,1500
160919119,1500
162998479,1500
163591278,1500
192925833,1500
229764465,1500
202367615,1500
204086862,1500
207645083,1500
208728772,1500
212639071,1500
221981891,1500
552661142,1500
560704231,1500
568098118,1500
881458615,1500
701547123,1500
770153867,1500
771302083,1500
787076358,1500
793375104,1500
834369920,1500
909213664,1500
695864515,1500
969302809,1500
997737944,1500
1024554267,1500
1048065319,1500
1106996539,1500
1136590548,1500
699532645,1500
671269505,1500
572984571,1500
612344730,1500
574523116,1500
579082810,1500
585146387,1500
589831718,1500
599320067,1500
599547518,1500
614765452,1500
669879380,1500
615869301,1500
621803253,1500
626805178,1500
655099582,1500
655806940,1500
658928958,1500
139824423,1500
135614069,1500
858127,1500
133442384,1500
14098069,1500
14440270,1500
15062869,1500
19745004,1500
20929025,1500
21289110,1500
22670857,1500
22887094,1500
23083156,1500
23088740,1500
24195339,1500
26066727,1500
27193779,1500
28457823,1500
29028775,1500
12888993,1500
12256376,1500
11730342,1500
5108051,1500
931135,1500
1362490,1500
1644196,1500
2126244,1500
3214406,1500
4164482,1500
5625464,1500
10744183,1500
6498492,1500
7569578,1500
7741856,1500
9384267,1500
9852918,1500
10270250,1500
32689863,1500
33614304,1500
33884891,1500
101138315,1500
75104123,1500
79162682,1500
80945428,1500
83222441,1500
88011908,1500
91629816,1500
103633984,1500
71583602,1500
107111421,1500
109343098,1500
110058856,1500
112507086,1500
121395510,1500
126577260,1500
74791366,1500
70107786,1500
34526884,1500
67274736,1500
35866694,1500
39464018,1500
45717250,1500
47018239,1500
54173593,1500
58028038,1500
61893399,1500
62367558,1500
63476337,1500
63537249,1500
65388917,1500
65600975,1500
65750241,1500
1147094660,1500
43441403,566
