validation_samples_per_repo,test_samples_per_repo,minimum_train_samples,eligible_repositories,train_rows,validation_rows,test_rows,retained_rows,purged_or_unused_rows,overlap_violations,train_target_mean,validation_target_mean,test_target_mean,repositories_in_all_splits,train_validation_overlap_violations,validation_test_overlap_violations
1,1,4,34,897,34,34,965,272,0,80.33667781493868,141.6764705882353,400.4117647058824,34,0,0
2,2,4,31,822,62,62,946,248,0,77.63138686131387,128.3548387096774,307.69354838709677,31,0,0
3,3,4,28,752,84,84,920,224,0,74.53856382978724,122.19047619047619,248.02380952380952,28,0,0
1,1,8,28,864,28,28,920,224,0,78.5,134.10714285714286,373.07142857142856,28,0,0
2,2,8,26,796,52,52,900,208,0,74.86809045226131,130.71153846153845,287.1923076923077,26,0,0
3,3,8,23,723,69,69,861,184,0,70.12586445366529,127.7536231884058,213.82608695652175,23,0,0
1,1,12,23,815,23,23,861,184,0,73.56564417177914,134.04347826086956,300.9130434782609,23,0,0
2,2,12,21,748,42,42,832,168,0,72.16844919786097,148.14285714285714,233.73809523809524,21,0,0
3,3,12,20,695,60,60,815,160,0,68.37410071942446,131.86666666666667,208.48333333333332,20,0,0
