configuration,split,target_mean_ratio_vs_train,fraction_above_train_p95,train_p95
one_one_eight,validation,1.7083712465878071,0.14285714285714285,209.0
one_one_eight,test,4.752502274795268,0.42857142857142855,209.0
two_two_eight,validation,1.7458911756923332,0.1346153846153846,194.25
two_two_eight,test,3.835977463261631,0.36538461538461536,194.25
three_three_eight,validation,1.8217760905153229,0.18840579710144928,178.79999999999995
three_three_eight,test,3.0491757730530997,0.3188405797101449,178.79999999999995
