configuration,split,rows,repositories,mean,median,standard_deviation,minimum,q25,q75,q90,q95,maximum,zero_fraction
one_one_eight,train,864,28,78.5,61.0,76.01769934782776,4.0,26.0,103.0,161.70000000000005,209.0,796.0,0.0
one_one_eight,validation,28,28,134.10714285714286,116.5,101.61741586140245,18.0,59.0,167.75,241.50000000000003,294.0999999999999,489.0,0.0
one_one_eight,test,28,28,373.07142857142856,128.0,440.1330546779074,8.0,95.5,473.25,1221.1,1286.1499999999999,1375.0,0.0
two_two_eight,train,796,26,74.86809045226131,58.0,75.35673774717301,4.0,25.0,97.25,148.5,194.25,796.0,0.0
two_two_eight,validation,52,26,130.71153846153845,110.0,144.48764606101588,16.0,49.25,137.75,203.9,314.59999999999997,773.0,0.0
two_two_eight,test,52,26,287.1923076923077,120.0,359.17694795137976,8.0,73.5,389.75,735.5999999999999,1225.1499999999999,1375.0,0.0
three_three_eight,train,723,23,70.12586445366529,57.0,60.63034020041589,4.0,25.0,93.0,140.80000000000007,178.79999999999995,513.0,0.0
three_three_eight,validation,69,23,127.7536231884058,107.0,127.677144045751,20.0,53.0,132.0,222.60000000000002,303.7999999999999,750.0,0.0
three_three_eight,test,69,23,213.82608695652175,114.0,256.54623230416564,8.0,74.0,258.0,477.0,640.7999999999986,1240.0,0.0
