configuration,split,baseline,rows,repositories,mae,rmse,rmsle,smape_percent,forecast_bias
one_one_eight,validation,last_week_x4,28,28,71.17857142857143,170.29732402897167,0.5327687658107418,41.944531284520195,5.464285714285714
one_one_eight,validation,previous_week_x4,28,28,66.89285714285714,121.94392739522304,1.04288774204916,57.0181498868462,-32.107142857142854
one_one_eight,validation,rolling_3week_mean_x4,28,28,40.55952380952381,52.754936577853385,0.4343467539698612,35.942933853755186,-21.440476190476193
one_one_eight,validation,previous_4week_total,28,28,41.07142857142857,54.48918634528716,0.4237507105345148,35.177352136705494,-23.785714285714285
one_one_eight,test,last_week_x4,28,28,268.85714285714283,516.0249855523333,1.5644177608625978,63.81215303211813,-211.78571428571428
one_one_eight,test,previous_week_x4,28,28,275.7857142857143,511.95821537085845,1.4179692966562296,66.22568621255324,-240.92857142857142
one_one_eight,test,rolling_3week_mean_x4,28,28,263.73809523809524,513.2249808343131,1.4428577010931514,58.686958746340835,-235.21428571428572
one_one_eight,test,previous_4week_total,28,28,265.67857142857144,512.5076654479005,1.4170140446102926,58.79340704681054,-238.96428571428572
two_two_eight,validation,last_week_x4,52,26,61.90384615384615,158.12343036618333,0.9448145853653953,42.58965649287052,-38.01923076923077
two_two_eight,validation,previous_week_x4,52,26,63.98076923076923,153.2678023290255,0.7911529545870798,43.57124876891578,-35.17307692307692
two_two_eight,validation,rolling_3week_mean_x4,52,26,57.54487179487179,140.18386125822386,0.6788960817997208,38.988862352444905,-32.71153846153846
two_two_eight,validation,previous_4week_total,52,26,55.05769230769231,133.53226345949275,0.5572318651394496,37.88498693289268,-32.28846153846154
two_two_eight,test,last_week_x4,52,26,191.73076923076923,402.5940406146886,1.2670093704338137,56.995818745886886,-148.5
two_two_eight,test,previous_week_x4,52,26,202.92307692307693,405.7389744461522,1.2349901709686815,62.246094299385035,-171.26923076923077
two_two_eight,test,rolling_3week_mean_x4,52,26,191.33333333333334,404.0079915855097,1.2281971991016378,55.0161791136992,-163.9102564102564
two_two_eight,test,previous_4week_total,52,26,196.0,407.5310276059216,1.2534474601315335,55.00089214864465,-159.6153846153846
three_three_eight,validation,last_week_x4,69,23,54.01449275362319,130.01800321271008,0.7427391357613117,41.18604775301055,-25.26086956521739
three_three_eight,validation,previous_week_x4,69,23,55.43478260869565,115.96594952517468,0.8139410820230945,45.99096559597644,-28.10144927536232
three_three_eight,validation,rolling_3week_mean_x4,69,23,49.1159420289855,110.42204936292048,0.5072178446045372,37.317381209607376,-26.96135265700483
three_three_eight,validation,previous_4week_total,69,23,51.2463768115942,116.27366519290301,0.5370216029898677,37.970597694478556,-27.681159420289855
three_three_eight,test,last_week_x4,69,23,115.82608695652173,267.5742887498722,0.9505136646790331,46.234950261121476,-81.47826086956522
three_three_eight,test,previous_week_x4,69,23,123.5072463768116,271.2225675702896,0.9491556181183605,52.28593997170685,-94.28985507246377
three_three_eight,test,rolling_3week_mean_x4,69,23,118.39613526570048,273.19549959395323,0.9140682272729465,44.75456628938556,-83.7584541062802
three_three_eight,test,previous_4week_total,69,23,126.1159420289855,282.39154645145874,0.9274457350882858,45.37639697604472,-78.31884057971014
