n_splits,validation_samples_per_repo,gap_samples,folds,minimum_eligible_repositories,minimum_train_rows,minimum_validation_rows,mean_validation_target,std_validation_target,total_overlap_violations,best_baseline,best_baseline_mean_rmsle,best_baseline_std_rmsle,best_baseline_mean_mae,best_baseline_mean_rmse,best_baseline_mean_smape,best_baseline_mean_bias
3,1,4,3,22,546,22,107.04545454545455,2.065057580291004,0,rolling_3week_mean_x4,0.596797838292772,0.16739870205421925,40.14646464646466,58.62197642648285,0.39844828318293896,-14.803030303030306
3,2,4,3,20,482,40,98.575,8.055432949258524,0,rolling_3week_mean_x4,0.6332493948924269,0.1385917075767672,44.680555555555564,79.43786038201644,0.41939570363523176,-3.1194444444444454
4,1,4,4,21,524,21,106.52380952380952,2.23927695921598,0,rolling_3week_mean_x4,0.6182494412275389,0.16978632937848107,45.24603174603175,74.77000618677282,0.39796855745994925,-7.253968253968256
4,2,4,4,19,443,38,94.34210526315789,6.588344166407242,0,previous_4week_total,0.6621950199740942,0.12241375211058479,44.18421052631579,86.33352127282053,0.40882913760356776,-2.9078947368421053
5,1,4,5,21,503,21,103.94285714285714,6.088295897767742,0,rolling_3week_mean_x4,0.6302886539701094,0.14948331495577655,46.96507936507937,81.45547505999784,0.4094668933167879,-2.990476190476193
5,2,4,5,15,408,30,84.48666666666666,10.931061755891374,0,previous_4week_total,0.5886132599783005,0.12713789791909916,32.873333333333335,52.18618469512569,0.40510038718315694,-5.433333333333334
