feature,importance_mean,importance_std
rolling_4week_sum_stars,0.25237499999999996,0.0771830548652574
cumulative_growth_lag_1,0.07699999999999996,0.040491254199724026
cumulative_stars,0.07049999999999997,0.03842958929436187
weekly_new_stars,0.03237499999999996,0.02413147581479425
weekly_growth_acceleration,0.026916666666666623,0.01615914773605203
rolling_3week_mean_stars,0.011041666666666642,0.013742737981283865
previous_week_stars,0.0016666666666666312,0.014257064525661965
lag_1_week_stars,0.0016666666666666312,0.014257064525661965
lag_2_week_stars,-0.0008333333333333674,0.0037267799624996455
clean_history_weeks,-0.0077916666666667045,0.01706508171351337
herd_momentum_score,-0.008250000000000054,0.01678478974150902
weekly_growth_rate,-0.0099166666666667,0.011152042662918563
