threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,cohen_kappa,log_loss,brier_score,tn,fp,fn,tp,distance_from_0_5
0.005336478617018171,0.73625,0.4737409698395573,0.24242424242424243,0.5,0.24242424242424243,1.0,0.3902439024390244,0.0,0.0,0.5894334504689335,0.1834078291302661,0,50,0,16,0.4946635213829818
0.006226395408257119,0.73625,0.4737409698395573,0.25757575757575757,0.51,0.24615384615384617,1.0,0.3950617283950617,0.07016464154456234,0.009797917942437229,0.5894334504689335,0.1834078291302661,1,49,0,16,0.49377360459174285
0.00693775026818014,0.73625,0.4737409698395573,0.2727272727272727,0.52,0.25,1.0,0.4,0.1,0.01980198019801982,0.5894334504689335,0.1834078291302661,2,48,0,16,0.49306224973181983
0.0073246394663732325,0.73625,0.4737409698395573,0.2878787878787879,0.53,0.25396825396825395,1.0,0.4050632911392405,0.12344267996967352,0.030018761726078758,0.5894334504689335,0.1834078291302661,3,47,0,16,0.49267536053362676
0.008775047253400827,0.73625,0.4737409698395573,0.30303030303030304,0.54,0.25806451612903225,1.0,0.41025641025641024,0.14368424162141993,0.04045512010113772,0.5894334504689335,0.1834078291302661,4,46,0,16,0.49122495274659916
0.013373370868062758,0.73625,0.4737409698395573,0.3181818181818182,0.55,0.26229508196721313,1.0,0.4155844155844156,0.1619552660357832,0.051118210862619806,0.5894334504689335,0.1834078291302661,5,45,0,16,0.4866266291319372
0.014823223444610737,0.73625,0.4737409698395573,0.3333333333333333,0.56,0.26666666666666666,1.0,0.42105263157894735,0.17888543819998318,0.06201550387596899,0.5894334504689335,0.1834078291302661,6,44,0,16,0.48517677655538927
0.01880210896106752,0.73625,0.4737409698395573,0.3484848484848485,0.5700000000000001,0.2711864406779661,1.0,0.4266666666666667,0.1948489201789819,0.07315480078380132,0.5894334504689335,0.1834078291302661,7,43,0,16,0.48119789103893246
0.020014807588856497,0.73625,0.4737409698395573,0.36363636363636365,0.58,0.27586206896551724,1.0,0.43243243243243246,0.2100902925755561,0.08454425363276086,0.5894334504689335,0.1834078291302661,8,42,0,16,0.4799851924111435
0.021062333031584224,0.73625,0.4737409698395573,0.3787878787878788,0.59,0.2807017543859649,1.0,0.4383561643835616,0.22478059477960657,0.09619238476953895,0.5894334504689335,0.1834078291302661,9,41,0,16,0.4789376669684158
0.02360016083918342,0.73625,0.4737409698395573,0.3939393939393939,0.6,0.2857142857142857,1.0,0.4444444444444444,0.23904572186687872,0.108108108108108,0.5894334504689335,0.1834078291302661,10,40,0,16,0.4763998391608166
0.024695421468228246,0.73625,0.4737409698395573,0.4090909090909091,0.61,0.2909090909090909,1.0,0.4507042253521127,0.25298221281347033,0.12030075187969913,0.5894334504689335,0.1834078291302661,11,39,0,16,0.47530457853177177
