model,best_parameters,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_mcc_mean,cv_cohen_kappa_mean,cv_log_loss_mean,cv_brier_score_mean,validation_threshold,validation_roc_auc,validation_pr_auc,validation_accuracy,validation_balanced_accuracy,validation_precision,validation_recall,validation_f1,validation_mcc,validation_cohen_kappa,validation_log_loss,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp
logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null, ""model__l1_ratio"": 0.5}",0.7358134920634921,0.06297360868273776,0.5330091100767792,0.06954098090701015,0.7121212121212123,0.5774801587301588,0.5,0.2619047619047619,0.3378787878787879,0.19531813358187142,0.17872669921866427,0.7315803888548484,0.21266253887285513,0.5,0.73625,0.4737409698395573,0.7575757575757576,0.52125,0.5,0.0625,0.1111111111111111,0.10625,0.06049822064056942,0.5894334504689335,0.1834078291302661,49,1,15,1
hist_gradient_boosting,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.7101190476190476,0.07163825044403158,0.5187250897169075,0.08113637329708316,0.6515151515151515,0.5043650793650793,0.3055555555555555,0.15873015873015872,0.20875420875420878,0.013047019384313205,0.011416434355502473,0.6818153151706442,0.22422641253032863,0.5,0.65625,0.4246688745931792,0.7575757575757576,0.5425,0.5,0.125,0.2,0.15266450672275866,0.11409395973154368,0.5923818665367833,0.19139850388676155,48,2,14,2
xgboost,"{""model__colsample_bytree"": 1.0, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__scale_pos_weight"": 1.0, ""model__subsample"": 0.8}",0.7370039682539683,0.07109309999903592,0.540801356120905,0.06652748014544692,0.6666666666666666,0.5281746031746032,0.35555555555555557,0.2063492063492063,0.25925925925925924,0.06780457213722281,0.06384964575113487,0.737229565779368,0.22733178238073984,0.5,0.64125,0.43727665962479323,0.7575757575757576,0.5425,0.5,0.125,0.2,0.15266450672275866,0.11409395973154368,0.6104394762354463,0.18632588643468245,48,2,14,2
decision_tree,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 1}",0.7280257936507937,0.06519106539912901,0.493025493025493,0.03855962188854285,0.7575757575757575,0.6267857142857142,0.6666666666666666,0.31746031746031744,0.4296296296296296,0.3334200243532018,0.3001340916447034,0.556481799278317,0.17705860507768215,0.5,0.625,0.3212121212121212,0.7424242424242424,0.5325,0.4,0.125,0.19047619047619047,0.10527092292325908,0.08482871125611735,0.5569781357551623,0.18570117440233883,47,3,14,2
gradient_boosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 200, ""model__subsample"": 0.8}",0.749404761904762,0.06806177374526376,0.5596801346801347,0.06847220562068604,0.7121212121212123,0.5908730158730159,0.4777777777777778,0.30952380952380953,0.37407407407407406,0.20759173870046957,0.2005094948167486,0.752898007413715,0.22891069491216,0.5,0.6212500000000001,0.4367080274708951,0.7424242424242424,0.55375,0.42857142857142855,0.1875,0.2608695652173913,0.14961613513743252,0.13292117465224107,0.6419265260686977,0.190036449536795,46,4,13,3
random_forest,"{""model__class_weight"": null, ""model__max_depth"": 4, ""model__max_features"": 0.75, ""model__min_samples_leaf"": 5}",0.7285714285714286,0.03475225458571901,0.5162161730789182,0.020288949261679384,0.7121212121212123,0.5601190476190476,0.5,0.2063492063492063,0.2878787878787879,0.16892203155841526,0.14506696849651002,0.6813635515057467,0.2141024248949505,0.5,0.61125,0.4340938894401307,0.7575757575757576,0.5425,0.5,0.125,0.2,0.15266450672275866,0.11409395973154368,0.5935319369647097,0.18519197728764047,48,2,14,2
knn,"{""model__n_neighbors"": 9, ""model__p"": 2, ""model__weights"": ""uniform""}",0.6356646825396826,0.10032663589649254,0.44486716986716984,0.10228288696604489,0.6666666666666666,0.5020833333333333,0.27777777777777773,0.1111111111111111,0.1574074074074074,-0.00019219227045515672,0.005418593688287454,3.6594016484712166,0.22820800598578375,0.5,0.5825,0.3941431852461264,0.7575757575757576,0.585,0.5,0.25,0.3333333333333333,0.22322093586152833,0.20481927710843373,4.108343197216102,0.20314253647586983,46,4,12,4
dummy,"{""model__strategy"": ""prior""}",0.5,0.0,0.28787878787878785,0.021427478217774173,0.7121212121212123,0.5,0.0,0.0,0.0,0.0,0.0,0.6033495853614935,0.20621312719473683,0.5,0.5,0.24242424242424243,0.7575757575757576,0.5,0.0,0.0,0.0,0.0,0.0,0.5540753632757905,0.1837358070500928,50,0,16,0
