design,model,feature_count,removed_feature,cv_roc_auc,validation_roc_auc,validation_pr_auc,validation_log_loss,validation_brier_score
full_features,logistic_regression,12,none,0.7358134920634921,0.73625,0.4737409698395573,0.5894334504689335,0.1834078291302661
target_feature_ablation,logistic_regression,11,rolling_4week_sum_stars,0.6918650793650793,0.71875,0.4305590289256351,0.6297440029383964,0.18833507006227268
