repo_id,repo_full_name,language,topic_count,stars_count,forks_count,repo_popularity_count,train_interaction_count,validation_interaction_count,train_popularity_share,train_popularity_rank
45717250,tensorflow/tensorflow,C++,1,195642,75177,1500,1328,110,0.00699079825651176,65
265612440,coqui-ai/TTS,Python,1,45555,6115,1500,1328,87,0.00699079825651176,65
80945428,nestjs/nest,TypeScript,1,75826,8319,1500,1327,88,0.006985534101198122,67
33614304,nvbn/thefuck,Python,1,97329,3945,1500,1322,97,0.00695921332462993,68
172562475,florinpop17/app-ideas,Unknown,1,94948,10485,1500,1322,91,0.00695921332462993,68
15062869,jestjs/jest,TypeScript,1,45440,6662,1500,1319,130,0.0069434208586890145,70
695864515,hacksider/Deep-Live-Cam,Python,1,93802,13682,1500,1314,57,0.006917100082120823,71
10744183,netdata/netdata,C,1,79143,6450,1500,1313,103,0.006911835926807185,72
212639071,bregman-arie/devops-exercises,Python,1,82751,19531,1500,1313,80,0.006911835926807185,72
71583602,Developer-Y/cs-video-courses,Unknown,1,81786,11301,1500,1312,114,0.006906571771493546,74
23088740,axios/axios,JavaScript,1,109076,11712,1500,1310,107,0.00689604346086627,75
969302809,hesreallyhim/awesome-claude-code,Python,1,46358,4040,1500,1309,50,0.006890779305552631,76
1147094660,HKUDS/nanobot,Python,1,44158,7809,1500,1307,20,0.006880250994925354,77
22670857,enaqx/awesome-react,Unknown,1,73610,7584,1500,1306,138,0.006874986839611716,78
579082810,dair-ai/Prompt-Engineering-Guide,MDX,1,75589,8207,1500,1306,116,0.006874986839611716,78
139824423,Avik-Jain/100-Days-Of-ML-Code,Unknown,1,51241,11540,1500,1305,102,0.006869722684298077,80
12888993,home-assistant/core,Python,1,87701,37666,1500,1304,134,0.006864458528984439,81
614765452,Significant-Gravitas/AutoGPT,Python,1,184930,46145,1500,1303,107,0.006859194373670801,82
103633984,goldbergyoni/nodebestpractices,Dockerfile,1,105316,10720,1500,1298,115,0.006832873597102609,83
568098118,makeplane/plane,TypeScript,1,50762,4498,1500,1298,86,0.006832873597102609,83
552661142,langchain-ai/langchain,Python,1,139206,23077,1500,1296,129,0.006822345286475332,85
88011908,practical-tutorials/project-based-learning,Unknown,1,268897,34848,1500,1293,131,0.006806552820534417,86
74791366,ryanmcdermott/clean-code-javascript,JavaScript,1,94448,12460,1500,1289,120,0.006785496199279864,87
669879380,rasbt/LLMs-from-scratch,Jupyter Notebook,1,97103,14853,1500,1288,87,0.006780232043966225,88
65600975,pytorch/pytorch,Python,1,100728,28009,1500,1284,119,0.006759175422711671,89
65750241,expo/expo,TypeScript,1,50052,12738,1500,1284,119,0.006759175422711671,89
585146387,shadcn-ui/ui,TypeScript,1,116491,9052,1500,1283,74,0.006753911267398033,91
23083156,mui/material-ui,JavaScript,1,98403,32603,1500,1281,148,0.006743382956770756,92
112507086,Chalarangelo/30-seconds-of-code,JavaScript,1,128085,12477,1500,1280,135,0.006738118801457118,93
771302083,OpenHands/OpenHands,Python,1,76856,9764,1500,1279,86,0.00673285464614348,94
35866694,RocketChat/Rocket.Chat,TypeScript,1,45456,13644,1500,1278,137,0.0067275904908298415,95
110058856,LeCoupa/awesome-cheatsheets,JavaScript,1,46007,6711,1500,1277,120,0.006722326335516203,96
107111421,thedaviddias/Front-End-Checklist,MDX,1,72920,6650,1500,1275,112,0.006711798024888927,97
1024554267,NousResearch/hermes-agent,Python,1,192692,33623,1500,1274,1,0.006706533869575288,98
626805178,langgenius/dify,TypeScript,1,145081,22834,1500,1273,96,0.00670126971426165,99
162998479,sherlock-project/sherlock,Python,1,84961,9924,1500,1265,132,0.006659156471752543,100
192925833,prisma/prisma,TypeScript,1,46265,2242,1500,1265,122,0.006659156471752543,100
523043277,astral-sh/ruff,Rust,1,47960,2148,1500,1265,113,0.006659156471752543,100
33884891,apache/airflow,Python,1,45800,17234,1500,1264,149,0.006653892316438904,103
204086862,streamlit/streamlit,Python,1,44963,4279,1500,1260,120,0.00663283569518435,104
615869301,mudler/LocalAI,Go,1,46831,4134,1500,1258,118,0.006622307384557074,105
1048065319,thedotmack/claude-mem,JavaScript,1,82131,7091,1500,1258,60,0.006622307384557074,105
109343098,serhii-londar/open-source-mac-os-apps,Unknown,1,49063,2585,1500,1257,113,0.006617043229243435,107
39464018,apache/superset,TypeScript,1,73275,17606,1500,1256,134,0.006611779073929797,108
