repo_id,repo_full_name,cutoff_week,target_end_week,history_length,initial_snapshot_rows,clean_history_weeks,future_4week_stars,weekly_new_stars_x,cumulative_stars_x,previous_week_stars,weekly_growth_rate,herd_momentum_score,lag_1_week_stars,lag_2_week_stars,rolling_3week_mean_stars,rolling_4week_sum_stars,weekly_growth_acceleration,cumulative_growth_lag_1,split,validation_samples_per_repo,test_samples_per_repo,minimum_train_samples,week_start,repository_row_index,weekly_new_stars_y,cumulative_stars_y,cumulative_difference,clean_weekly_new_stars,clean_rolling_3week_mean,clean_rolling_4week_sum,rolling_4week_difference
65750241,expo/expo,2016-09-19 00:00:00+00:00,2016-10-17 00:00:00+00:00,6,1,5,179.0,17,149,12.0,0.4166666666666667,1788.0,12.0,16.0,15.0,55.0,5.0,132.0,train,3,3,8,2016-09-19 00:00:00+00:00,5,17,149,17.0,17.0,15.0,55.0,0.0
65750241,expo/expo,2016-09-26 00:00:00+00:00,2016-10-24 00:00:00+00:00,7,1,6,67.0,125,274,17.0,6.352941176470588,4658.0,17.0,12.0,51.333333333333336,170.0,108.0,149.0,train,3,3,8,2016-09-26 00:00:00+00:00,6,125,274,125.0,125.0,51.333333333333336,170.0,0.0
65750241,expo/expo,2016-10-03 00:00:00+00:00,2016-10-31 00:00:00+00:00,8,1,7,57.0,18,292,125.0,-0.856,36500.0,125.0,17.0,53.333333333333336,172.0,-107.0,274.0,train,3,3,8,2016-10-03 00:00:00+00:00,7,18,292,18.0,18.0,53.333333333333336,172.0,0.0
65750241,expo/expo,2016-10-10 00:00:00+00:00,2016-11-07 00:00:00+00:00,9,1,8,57.0,24,316,18.0,0.3333333333333332,5688.0,18.0,125.0,55.666666666666664,184.0,6.0,292.0,train,3,3,8,2016-10-10 00:00:00+00:00,8,24,316,24.0,24.0,55.666666666666664,184.0,0.0
65750241,expo/expo,2016-10-17 00:00:00+00:00,2016-11-14 00:00:00+00:00,10,1,9,67.0,12,328,24.0,-0.5,7872.0,24.0,18.0,18.0,179.0,-12.0,316.0,train,3,3,8,2016-10-17 00:00:00+00:00,9,12,328,12.0,12.0,18.0,179.0,0.0
63476337,TheAlgorithms/Python,2017-02-27 00:00:00+00:00,2017-03-27 00:00:00+00:00,32,1,31,113.0,17,673,17.0,0.0,11441.0,17.0,13.0,15.666666666666666,59.0,0.0,656.0,train,3,3,8,2017-02-27 00:00:00+00:00,31,17,673,17.0,17.0,15.666666666666666,59.0,0.0
63476337,TheAlgorithms/Python,2017-02-13 00:00:00+00:00,2017-03-13 00:00:00+00:00,30,1,29,97.0,13,639,12.0,0.0833333333333332,7668.0,12.0,11.0,12.0,51.0,1.0,626.0,train,3,3,8,2017-02-13 00:00:00+00:00,29,13,639,13.0,13.0,12.0,51.0,0.0
65750241,expo/expo,2016-10-31 00:00:00+00:00,2016-11-28 00:00:00+00:00,12,1,11,74.0,8,349,13.0,-0.3846153846153846,4537.0,13.0,12.0,11.0,57.0,-5.0,341.0,train,3,3,8,2016-10-31 00:00:00+00:00,11,8,349,8.0,8.0,11.0,57.0,0.0
63476337,TheAlgorithms/Python,2016-11-28 00:00:00+00:00,2016-12-26 00:00:00+00:00,19,1,18,63.0,11,484,17.0,-0.3529411764705882,8228.0,17.0,12.0,13.333333333333334,56.0,-6.0,473.0,train,3,3,8,2016-11-28 00:00:00+00:00,18,11,484,11.0,11.0,13.333333333333334,56.0,0.0
63476337,TheAlgorithms/Python,2016-10-03 00:00:00+00:00,2016-10-31 00:00:00+00:00,11,1,10,60.0,20,368,14.0,0.4285714285714286,5152.0,14.0,12.0,15.333333333333334,55.0,6.0,348.0,train,3,3,8,2016-10-03 00:00:00+00:00,10,20,368,20.0,20.0,15.333333333333334,55.0,0.0
