method,deployment_eligible,selected_threshold,roc_auc,pr_auc,log_loss,brier_score,expected_calibration_error,maximum_calibration_error,accuracy_at_0_5,balanced_accuracy_at_0_5,f1_at_0_5,mcc_at_0_5,accuracy_at_selected_threshold,balanced_accuracy_at_selected_threshold,precision_at_selected_threshold,recall_at_selected_threshold,f1_at_selected_threshold,mcc_at_selected_threshold,tn_at_selected_threshold,fp_at_selected_threshold,fn_at_selected_threshold,tp_at_selected_threshold
uncalibrated,True,0.10033205455803261,0.73625,0.4737409698395573,0.5894334504689335,0.1834078291302661,0.14486258960179885,0.4170870182310558,0.7575757575757576,0.52125,0.1111111111111111,0.10625,0.7575757575757576,0.7125,0.5,0.625,0.5555555555555556,0.39631454350213335,40,10,6,10
sigmoid_temporal_cv,True,0.17482545773975103,0.7725000000000001,0.497073839093027,0.48708256183082693,0.16082585198760224,0.11905295943420258,0.15169918199369756,0.7727272727272727,0.53125,0.11764705882352941,0.2192645048267573,0.6363636363636364,0.76,0.4,1.0,0.5714285714285714,0.4560701700396552,26,24,0,16
isotonic_exploratory,False,0.08521632375601844,0.7625,0.44168452083293885,0.4779415214425047,0.16499134552491448,0.10357018989027314,0.24491946377517915,0.7121212121212122,0.5549999999999999,0.2962962962962963,0.12649110640673517,0.6212121212121212,0.75,0.3902439024390244,1.0,0.5614035087719298,0.44172610429938614,25,25,0,16
