family,candidate_id,mode,model_kind,feature_set,parameters,mean_cv_rmsle,std_cv_rmsle,mean_cv_mae,mean_cv_rmse,mean_cv_smape,mean_cv_bias,elapsed_seconds
additive_residual_extra_trees,89,additive_residual,extra_trees,recent_only,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.517680691925574,0.13498104727921792,37.449958419465375,55.65251955773314,0.3897398926347592,-18.247543026904086,0.387471083085984
additive_residual_ridge,37,additive_residual,ridge,recent_compact,"{""alpha"": 1000.0}",0.547409590926235,0.11094381286565175,38.27048499080703,55.87685395082085,0.41137487040532245,-20.383109015925367,0.006306125083938241
blend_direct_extra_trees,58,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 20}",0.5026975331266713,0.120377498503909,37.445218964647985,55.55924344018754,0.3816858242905716,-23.647836090513568,0.41629745811223984
direct_extra_trees,74,direct,extra_trees,recent_only,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5253111098014218,0.10296961138016876,39.72718526115776,58.04175943573754,0.4156289114963411,-25.22464891936573,0.42254229192622006
log_residual_extra_trees,90,log_residual,extra_trees,recent_only,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_leaf"": 10}",0.5426330246717904,0.14451614699415008,37.162744166797424,55.56774411401026,0.37322247080591703,-22.225638932582456,0.41513504181057215
log_residual_ridge,28,log_residual,ridge,recent_only,"{""alpha"": 1000.0}",0.537308170217575,0.12664857459498147,36.85513517002491,55.4453463270772,0.3733874773528771,-27.68583597227366,0.006462708115577698
scaled_rolling_baseline,5,scaled_baseline,none,baseline_only,"{""scale"": 1.2}",0.5670521163198537,0.1562682922631172,43.84545454545454,62.86549636729902,0.4016339888771056,3.6454545454545397,0.0017662921454757452
