candidate_id,family,mode,model_kind,feature_set,parameters,fold,rmsle,mae,rmse,smape,forecast_bias
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",1,0.757696077268914,53.066536810209364,78.83835813481258,0.5661579579970506,-36.818130531248194
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",2,0.6429805436737501,47.20358152554729,60.9701789161721,0.5014401782562528,-34.044523043733406
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",3,0.6004636821712009,39.17856925429694,50.233712283380946,0.45270906681114587,-27.977700937724578
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",1,0.7122833930903281,50.83782318886721,77.6559650692046,0.5066310787604601,-47.5089186250876
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",2,0.5322663563278058,45.54025589407694,60.891121623501014,0.44991754037862125,-39.08445086237081
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",3,0.5317426787325872,39.03691273640936,51.66661887560362,0.42965347802234,-32.78164400680646
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",1,0.7398506167977545,51.537677386580796,77.66010279869208,0.5467056115940018,-37.070480333967076
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",2,0.6244685746017593,45.801231171683185,59.48169588948433,0.48786923160736567,-34.32014607659569
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",3,0.5833400601403466,38.09796202387146,49.237642396198815,0.43406918849008813,-27.37891217672009
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",1,0.7122216836114922,50.266500474875166,77.49137278519446,0.49600218638329374,-47.184568022557684
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",2,0.5274207693348943,44.97522481845125,60.40313350601115,0.4447468921556077,-39.569306003929114
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",3,0.5297503556819202,38.95603087417465,52.00447707173258,0.4243296423424596,-32.93641888687553
17,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1000.0}",1,0.687418376289887,49.05118464857601,77.22401059605981,0.4906664930233035,-30.056744988730326
17,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1000.0}",2,0.554825263821612,42.005959016935236,55.337875400452994,0.4529094352317245,-28.9535401150471
17,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1000.0}",3,0.5034130064332067,32.431400104036065,42.34280071396351,0.3756360921670059,-20.991074030632465
18,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1000.0}",1,0.686239486607458,43.49737768299992,74.04383570823096,0.4166197972264598,-39.20049830008073
18,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1000.0}",2,0.49493534514255877,41.85815606342831,56.25098827868858,0.4124468860319208,-33.508502597997186
18,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1000.0}",3,0.48418842044706706,34.59055500577546,46.22097236561483,0.37530699036758275,-26.62605769875356
19,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 0.1}",1,0.683773376200749,47.3229383106035,75.54697342960273,0.4758131479293747,-29.294785615985813
19,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 0.1}",2,0.5620388759345397,42.350244770869786,55.809555459334014,0.4453319433328003,-25.52338098902137
19,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 0.1}",3,0.5259460460818047,33.78279960726961,43.993397483567755,0.3978712092045315,-19.493326968374703
20,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 0.1}",1,0.696673196271896,47.02938051178183,74.76067630580422,0.45691923216582375,-41.226577276752955
20,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 0.1}",2,0.48765482359751083,41.980926742197,56.46379434954944,0.4093888409434918,-31.333268451024505
20,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 0.1}",3,0.47956280983030514,33.64051307094576,46.151615991217035,0.36348762326611983,-24.824439970653646
21,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1.0}",1,0.6835625887766285,47.275636949544676,75.48625704591025,0.47563002928128245,-29.369032881501223
21,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1.0}",2,0.5617118168081432,42.31451539977547,55.7359224247345,0.44527243283108486,-25.577279161344418
21,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1.0}",3,0.5256899797429255,33.760601748084156,43.960049768891416,0.3976389346131008,-19.493231419722658
