candidate_id,family,mode,model_kind,feature_set,parameters,mean_cv_rmsle,std_cv_rmsle,mean_cv_mae,mean_cv_rmse,mean_cv_smape,mean_cv_bias,elapsed_seconds
1,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.8}",0.6981413219814189,0.16547877960641366,43.66767676767677,63.396527679061855,0.4788122102650987,-33.25151515151515,0.004057292127981782
2,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 0.9}",0.6372827002503857,0.16811788225965207,40.34848484848485,59.98278902771349,0.4202792606141401,-24.027272727272727,0.0017656250856816769
3,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.0}",0.5967978382927721,0.1673987020542192,40.14646464646465,58.62197642648285,0.39844828318293896,-14.803030303030306,0.0017824589740484953
4,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.1}",0.5743070129032991,0.16326519766666525,41.48383838383839,59.61317617970167,0.39587903542653385,-5.578787878787872,0.001872458029538393
5,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.2}",0.5670521163198537,0.1562682922631172,43.84545454545454,62.86549636729902,0.4016339888771056,3.6454545454545397,0.0017662921454757452
6,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.3}",0.5719887969973588,0.14733399994410273,48.15858585858586,67.978146165648,0.4201650898607256,12.86969696969697,0.0017713331617414951
7,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.4}",0.5861503647604724,0.13742636318895798,53.04949494949494,74.50029362160562,0.4418419341561907,22.093939393939383,0.0017516668885946274
8,scaled_rolling_baseline,scaled_baseline,none,baseline_only,"{""scale"": 1.5}",0.6069648880964924,0.1273240967917548,58.651515151515156,82.06022563378635,0.4726373171595655,31.318181818181824,0.0017282499466091394
9,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 0.1}",0.6707387664830745,0.08086058065785107,46.85791850900748,63.78633861427363,0.5101843085712476,-32.62271259613539,0.01581470901146531
10,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 0.1}",0.5919476090626848,0.10190509908739435,45.20808286131029,63.44002870836852,0.4627115693801335,-39.50194115256378,0.006756791844964027
11,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1.0}",0.6703479611558237,0.08092312699627716,46.81705148312623,63.73528163966622,0.5098416865552445,-32.66236095706712,0.007118790876120329
12,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1.0}",0.5919552549713991,0.10217125904568555,45.200150088625655,63.43353343323508,0.4626598759160605,-39.5365935541484,0.006707125110551715
13,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 10.0}",0.6670467677046217,0.08133199783215034,46.482895863351196,63.34741644478854,0.5067690676881497,-32.94678483756873,0.007592667127028108
14,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 10.0}",0.5920974760502403,0.10408438668038096,45.13833060645118,63.40456852276975,0.46206736572047374,-39.79167116475495,0.006682290928438306
15,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 100.0}",0.6492197505132867,0.08113787104709774,45.14562352737848,62.12648036145841,0.4895480105638185,-32.923179529094284,0.006878749933093786
