repo_id,repo_full_name,week,weekly_new_stars,cumulative_stars,previous_week_stars,weekly_growth_rate,herd_momentum_score
858127,pandas-dev/pandas,2011-09-19/2011-09-25,6,881,5.0,0.19999999999999996,4405.0
858127,pandas-dev/pandas,2011-09-26/2011-10-02,6,887,6.0,0.0,5322.0
858127,pandas-dev/pandas,2011-10-03/2011-10-09,8,895,6.0,0.33333333333333326,5370.0
858127,pandas-dev/pandas,2011-10-10/2011-10-16,6,901,8.0,-0.25,7208.0
858127,pandas-dev/pandas,2011-10-17/2011-10-23,5,906,6.0,-0.16666666666666663,5436.0
858127,pandas-dev/pandas,2011-10-24/2011-10-30,2,908,5.0,-0.6,4540.0
858127,pandas-dev/pandas,2011-10-31/2011-11-06,6,914,2.0,2.0,1828.0
858127,pandas-dev/pandas,2011-11-07/2011-11-13,3,917,6.0,-0.5,5502.0
858127,pandas-dev/pandas,2011-11-14/2011-11-20,8,925,3.0,1.6666666666666665,2775.0
858127,pandas-dev/pandas,2011-11-21/2011-11-27,5,930,8.0,-0.375,7440.0
858127,pandas-dev/pandas,2011-11-28/2011-12-04,6,936,5.0,0.19999999999999996,4680.0
858127,pandas-dev/pandas,2011-12-05/2011-12-11,8,944,6.0,0.33333333333333326,5664.0
858127,pandas-dev/pandas,2011-12-12/2011-12-18,4,948,8.0,-0.5,7584.0
858127,pandas-dev/pandas,2011-12-19/2011-12-25,7,955,4.0,0.75,3820.0
858127,pandas-dev/pandas,2011-12-26/2012-01-01,3,958,7.0,-0.5714285714285714,6706.0
858127,pandas-dev/pandas,2012-01-02/2012-01-08,10,968,3.0,2.3333333333333335,2904.0
858127,pandas-dev/pandas,2012-01-09/2012-01-15,8,976,10.0,-0.19999999999999996,9760.0
858127,pandas-dev/pandas,2012-01-16/2012-01-22,5,981,8.0,-0.375,7848.0
858127,pandas-dev/pandas,2012-01-23/2012-01-29,5,986,5.0,0.0,4930.0
858127,pandas-dev/pandas,2012-01-30/2012-02-05,6,992,5.0,0.19999999999999996,4960.0
858127,pandas-dev/pandas,2012-02-06/2012-02-12,6,998,6.0,0.0,5988.0
858127,pandas-dev/pandas,2012-02-13/2012-02-19,3,1001,6.0,-0.5,6006.0
858127,pandas-dev/pandas,2012-02-20/2012-02-26,8,1009,3.0,1.6666666666666665,3027.0
858127,pandas-dev/pandas,2012-02-27/2012-03-04,5,1014,8.0,-0.375,8112.0
858127,pandas-dev/pandas,2012-03-05/2012-03-11,5,1019,5.0,0.0,5095.0
858127,pandas-dev/pandas,2012-03-12/2012-03-18,7,1026,5.0,0.3999999999999999,5130.0
858127,pandas-dev/pandas,2012-03-19/2012-03-25,5,1031,7.0,-0.2857142857142857,7217.0
858127,pandas-dev/pandas,2012-03-26/2012-04-01,2,1033,5.0,-0.6,5165.0
858127,pandas-dev/pandas,2012-04-02/2012-04-08,4,1037,2.0,1.0,2074.0
858127,pandas-dev/pandas,2012-04-09/2012-04-15,7,1044,4.0,0.75,4176.0
858127,pandas-dev/pandas,2012-04-16/2012-04-22,3,1047,7.0,-0.5714285714285714,7329.0
858127,pandas-dev/pandas,2012-04-23/2012-04-29,7,1054,3.0,1.3333333333333335,3162.0
858127,pandas-dev/pandas,2012-04-30/2012-05-06,3,1057,7.0,-0.5714285714285714,7399.0
858127,pandas-dev/pandas,2012-05-07/2012-05-13,3,1060,3.0,0.0,3180.0
858127,pandas-dev/pandas,2012-05-14/2012-05-20,3,1063,3.0,0.0,3189.0
858127,pandas-dev/pandas,2012-05-21/2012-05-27,4,1067,3.0,0.33333333333333326,3201.0
858127,pandas-dev/pandas,2012-05-28/2012-06-03,4,1071,4.0,0.0,4284.0
858127,pandas-dev/pandas,2012-06-04/2012-06-10,5,1076,4.0,0.25,4304.0
858127,pandas-dev/pandas,2012-06-11/2012-06-17,4,1080,5.0,-0.19999999999999996,5400.0
858127,pandas-dev/pandas,2012-06-18/2012-06-24,10,1090,4.0,1.5,4360.0
858127,pandas-dev/pandas,2012-06-25/2012-07-01,1,1091,10.0,-0.9,10910.0
858127,pandas-dev/pandas,2012-07-02/2012-07-08,4,1095,1.0,3.0,1095.0
858127,pandas-dev/pandas,2012-07-09/2012-07-15,3,1098,4.0,-0.25,4392.0
858127,pandas-dev/pandas,2012-07-16/2012-07-22,8,1106,3.0,1.6666666666666665,3318.0
858127,pandas-dev/pandas,2012-07-23/2012-07-29,6,1112,8.0,-0.25,8896.0
858127,pandas-dev/pandas,2012-07-30/2012-08-05,6,1118,6.0,0.0,6708.0
858127,pandas-dev/pandas,2012-08-06/2012-08-12,2,1120,6.0,-0.6666666666666667,6720.0
858127,pandas-dev/pandas,2012-08-13/2012-08-19,1,1121,2.0,-0.5,2242.0
858127,pandas-dev/pandas,2012-08-20/2012-08-26,1,1122,1.0,0.0,1122.0
858127,pandas-dev/pandas,2012-08-27/2012-09-02,2,1124,1.0,1.0,1124.0
858127,pandas-dev/pandas,2012-09-03/2012-09-09,1,1125,2.0,-0.5,2250.0
858127,pandas-dev/pandas,2012-09-10/2012-09-16,2,1127,1.0,1.0,1127.0
858127,pandas-dev/pandas,2012-09-24/2012-09-30,5,1132,2.0,1.5,2264.0
858127,pandas-dev/pandas,2012-10-01/2012-10-07,1,1133,5.0,-0.8,5665.0
858127,pandas-dev/pandas,2012-11-05/2012-11-11,1,1134,1.0,0.0,1134.0
858127,pandas-dev/pandas,2012-11-12/2012-11-18,1,1135,1.0,0.0,1135.0
858127,pandas-dev/pandas,2012-11-19/2012-11-25,3,1138,1.0,2.0,1138.0
858127,pandas-dev/pandas,2012-11-26/2012-12-02,2,1140,3.0,-0.33333333333333337,3420.0
858127,pandas-dev/pandas,2012-12-10/2012-12-16,1,1141,2.0,-0.5,2282.0
858127,pandas-dev/pandas,2012-12-17/2012-12-23,1,1142,1.0,0.0,1142.0
858127,pandas-dev/pandas,2013-01-07/2013-01-13,1,1143,1.0,0.0,1143.0
858127,pandas-dev/pandas,2013-01-21/2013-01-27,1,1144,1.0,0.0,1144.0
858127,pandas-dev/pandas,2013-02-04/2013-02-10,3,1147,1.0,2.0,1147.0
858127,pandas-dev/pandas,2013-02-11/2013-02-17,21,1168,3.0,6.0,3504.0
858127,pandas-dev/pandas,2013-02-18/2013-02-24,17,1185,21.0,-0.19047619047619047,24885.0
858127,pandas-dev/pandas,2013-02-25/2013-03-03,14,1199,17.0,-0.17647058823529416,20383.0
858127,pandas-dev/pandas,2013-03-04/2013-03-10,21,1220,14.0,0.5,17080.0
858127,pandas-dev/pandas,2013-03-11/2013-03-17,28,1248,21.0,0.33333333333333326,26208.0
858127,pandas-dev/pandas,2013-03-18/2013-03-24,26,1274,28.0,-0.0714285714285714,35672.0
858127,pandas-dev/pandas,2013-03-25/2013-03-31,20,1294,26.0,-0.23076923076923073,33644.0
858127,pandas-dev/pandas,2013-04-01/2013-04-07,31,1325,20.0,0.55,26500.0
858127,pandas-dev/pandas,2013-04-08/2013-04-14,11,1336,31.0,-0.6451612903225806,41416.0
858127,pandas-dev/pandas,2013-04-15/2013-04-21,13,1349,11.0,0.18181818181818188,14839.0
858127,pandas-dev/pandas,2013-04-22/2013-04-28,15,1364,13.0,0.15384615384615374,17732.0
858127,pandas-dev/pandas,2013-04-29/2013-05-05,15,1379,15.0,0.0,20685.0
