selection_rank,model,best_parameters,mean_cv_roc_auc,std_cv_roc_auc,mean_cv_pr_auc,mean_cv_accuracy,mean_cv_balanced_accuracy,mean_cv_precision,mean_cv_recall,mean_cv_f1,mean_cv_mcc,mean_cv_cohen_kappa,mean_cv_log_loss,mean_fit_time_seconds,total_search_time_seconds,parameter_combinations
1,logistic_regression,"{""model__C"": 0.01, ""model__penalty"": ""l2""}",1.0,0.0,1.0,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,0.4142038465875186,0.005946302413940429,0.28100441605784,8
2,xgboost,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100, ""model__reg_lambda"": 1.0, ""model__subsample"": 0.8}",1.0,0.0,1.0,0.9913043478260869,0.9916666666666666,0.9833333333333332,1.0,0.9913043478260869,0.9833333333333332,0.9826415094339623,0.06766527444124222,0.02093019485473633,2.1337739159353077,64
3,random_forest,"{""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",1.0,0.0,1.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,0.04890320141447359,0.1268627166748047,5.775852625025436,24
4,knn,"{""model__n_neighbors"": 9, ""model__p"": 1, ""model__weights"": ""uniform""}",0.9984848484848484,0.0018556740475630122,0.9972027972027971,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,0.2012048168064043,0.0027791976928710936,0.42046525003388524,16
5,support_vector_machine,"{""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",0.995580808080808,0.00361561137961525,0.9959207459207459,0.7054347826086956,0.7166666666666667,0.7980116959064327,0.7333333333333333,0.6738156411990083,0.518784212680482,0.4254191543208258,0.5860855306181649,0.009751844406127929,0.30448445794172585,9
6,gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_depth"": 1, ""model__n_estimators"": 50, ""model__subsample"": 0.8}",0.9916666666666666,0.016666666666666698,0.9920289855072465,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,0.14843518416475923,0.013040828704833984,1.0749529171735048,24
7,decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 1}",0.9833333333333332,0.020412414523193187,0.9753623188405797,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,0.6268461458976897,0.00225977897644043,0.48553208308294415,24
8,dummy,"{""model__strategy"": ""most_frequent""}",0.5,0.0,0.5,0.4826086956521739,0.5,0.19130434782608696,0.4,0.25882352941176473,0.0,0.0,18.648672840456264,0.008542442321777343,1.4738472090102732,3
