model,parameters_json,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_mcc,mean_test_cohen_kappa,mean_test_neg_log_loss,mean_fit_time,std_fit_time,param_model__strategy,param_model__C,param_model__penalty,param_model__kernel,param_model__gamma,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__n_estimators,param_model__n_neighbors,param_model__p,param_model__weights,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__reg_lambda
support_vector_machine,"{""model__C"": 1.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",5,0.9910353535353534,0.005708411391645121,0.9922577422577422,0.0048949349940272885,0.939855072463768,0.9386363636363637,0.9547619047619047,0.9303030303030303,0.9392530657748048,0.8849743157434494,0.8790791684670411,-0.1495909977498707,0.00653533935546875,0.00302454229352013,,1.0,,rbf,scale,,,,,,,,,,,,
support_vector_machine,"{""model__C"": 1.0, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",8,0.9637626262626263,0.034457438527708724,0.971287323787324,0.02863332850010113,0.8960144927536232,0.8946969696969695,0.8734032634032634,0.9287878787878789,0.8985656565656566,0.7971333170869153,0.791065830721003,-0.2573956623172034,0.003676033020019531,6.137110966409664e-05,,1.0,,rbf,0.1,,,,,,,,,,,,
support_vector_machine,"{""model__C"": 10.0, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",7,0.97739898989899,0.022045035112350893,0.9787217328126421,0.024160667437771524,0.9311594202898551,0.9303030303030301,0.9479487179487179,0.9121212121212121,0.9285424430641822,0.8645188079454469,0.8618557046177392,-0.19540915450197877,0.0034097671508789063,0.00012164410303815871,,10.0,,rbf,scale,,,,,,,,,,,,
support_vector_machine,"{""model__C"": 10.0, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",9,0.9455808080808081,0.04256455272715028,0.9507284176092226,0.050126216363116656,0.8786231884057971,0.8772727272727273,0.8705461205461205,0.8939393939393939,0.8804948384948383,0.7596093442464751,0.7562198920092282,-0.31621723786146305,0.005955791473388672,0.0020631678643885792,,10.0,,rbf,0.1,,,,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.00225977897644043,0.001011177716155355,,,,,,gini,2,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0015670299530029298,0.0007787417490135385,,,,,,gini,2,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.001519489288330078,0.0008987202225626448,,,,,,gini,2,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0018779277801513673,0.0007924372884200531,,,,,,gini,3,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0010927200317382812,2.4176819526334192e-05,,,,,,gini,3,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0010797977447509766,8.402595965014713e-05,,,,,,gini,3,5.0,,,,,,,,,
