,count,mean,std,min,25%,50%,75%,max
repo_id,216566.0,281153329.77290064,308085730.49654835,576201.0,33614304.0,135614069.0,552661142.0,1147094660.0
user_id,216566.0,16841072.413772244,30011694.845677875,1.0,819834.25,4624794.5,18232214.0,265125694.0
