,count,mean,std,min,25%,50%,75%,max
repo_id,2250.0,190137570.19022223,264143536.38371027,576201.0,19745004.0,63476337.0,265612440.0,1147094660.0
weekly_new_stars,2250.0,96.25155555555556,263.43647296188226,1.0,5.0,18.0,43.0,1500.0
cumulative_stars,2250.0,635.8924444444444,520.3383112850701,1.0,122.0,546.5,1124.0,1500.0
previous_week_stars,2105.0,53.25225653206651,143.19779961816974,1.0,5.0,16.0,36.0,1396.0
weekly_growth_rate,2105.0,14.079289718585827,117.97359242874295,-0.9962825278810408,-0.34375,0.0,0.6501766784452296,1498.0
herd_momentum_score,2250.0,53098.52888888889,193188.82565639605,0.0,506.0,6938.5,29030.25,2094000.0
