repo_id,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,became_high_growth,archived,is_fork,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_peak_to_average_ratio,language_grouped_C++,language_grouped_JavaScript,language_grouped_Jupyter Notebook,language_grouped_MDX,language_grouped_Other,language_grouped_Python,language_grouped_Rust,language_grouped_TypeScript,language_grouped_Unknown,license_grouped_AGPL-3.0,license_grouped_Apache-2.0,license_grouped_GPL-3.0,license_grouped_MIT,license_grouped_NOASSERTION,license_grouped_No License,license_grouped_Other
576201,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,1.806849712165608,-0.3396831102433787,-0.2252213082307254,0.8765230646861663,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,2.2453655975512463,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,1.0940611029415572,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
858127,-0.40880419380354277,-0.5619462521894825,-0.2029631176487189,1,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,4.44007721940573,-1.1408712905438991,-0.5214689104456789,2.277632648695102,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,1.49071198499986,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,-0.9140257315714276,-0.45643546458763845,-0.25724787771376323,3.4902461491731755
931135,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,-0.2252213082307254,0.8765230646861663,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,2.2453655975512463,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,-0.9140257315714276,-0.45643546458763845,-0.25724787771376323,3.4902461491731755
1362490,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,-0.2252213082307254,-1.1408712905438991,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,1.49071198499986,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,2.1908902300206643,-0.16843038421330378,-0.9140257315714276,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
1644196,0.41642359490524444,-0.2741492218839287,0.6671537846888937,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,1.806849712165608,-0.3396831102433787,-0.2252213082307254,-1.1408712905438991,-0.5214689104456789,2.256250430749067,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,3.4902461491731755,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,1.0940611029415572,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
2126244,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,1.806849712165608,-0.3396831102433787,-0.2252213082307254,0.8765230646861663,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,6.8799224801834304,-0.28651274358884277,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,1.0940611029415572,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
3214406,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,-0.2252213082307254,0.8765230646861663,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,2.2453655975512463,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,-0.9140257315714276,2.1908902300206643,-0.25724787771376323,-0.28651274358884277
4164482,1.0221918988208023,2.2961036735407165,1.3763811465942686,0,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,-0.2252213082307254,0.8765230646861663,-0.5214689104456789,-1.0838567118036344,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,1.49071198499986,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,-0.9140257315714276,-0.45643546458763845,-0.25724787771376323,3.4902461491731755
5108051,-0.7981193072381072,-0.6977193502753448,-0.6363798388131147,1,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,2.943920288775949,-0.2252213082307254,-1.1408712905438991,-0.5214689104456789,2.094513722151264,5.2915026221291805,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,-0.28651274358884277,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,2.1908902300206643,-0.16843038421330378,-0.9140257315714276,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
5625464,-1.1633840661747834,-0.8251049210663276,-1.027111579862835,1,-0.08333333333333333,0.0,0.0,-0.6925256939166183,-0.55344946138406,-0.3396831102433787,-0.2252213082307254,-1.1408712905438991,-0.5214689104456789,1.096676726318724,-0.18898223650461357,-0.44536177141512323,-0.20776300831933314,-0.14535047493345277,3.4902461491731755,-0.6708203932499369,-0.18898223650461357,-0.5428101483418094,-0.31382295723042386,-0.18898223650461357,-0.45643546458763845,-0.16843038421330378,1.0940611029415572,-0.45643546458763845,-0.25724787771376323,-0.28651274358884277
