feature,importance_mean_rmsle_increase,importance_std
rolling_3week_mean_stars,0.05290946731522883,0.009947126333750665
rolling_4week_sum_stars,0.04335013597004979,0.008618391659015592
weekly_new_stars,0.031142216137334602,0.00999424374037028
previous_week_stars,0.007889331523192237,0.0032138654118350767
lag_2_week_stars,0.0005778463465375657,0.001362372200478017
weekly_growth_rate,-0.0003347629982016357,0.001240289214759533
weekly_growth_acceleration,-0.001884623983914894,0.001464064820148277
clean_history_weeks,-0.0026543457368591095,0.0017660161540915314
herd_momentum_score,-0.005076810250728858,0.0025879698586168494
cumulative_stars,-0.00962600085805914,0.007009493530859954
